LLNR,Name,Position,Characteristic,Height,Range,Structure,Remarks
5,Long Bay Fish Haven Buoy B,"33-41-36.626N, 078-26-47.022W",,,,Yellow nun.,
10,Little River Fish Haven Buoy A,"33-48-55.000N, 078-30-30.000W",,,,Yellow nun.,
15,Little River Inlet Lighted Buoy LR,"33-49-49.513N, 078-32-27.325W",Mo (A) W,,5,Red and white stripes with red spherical topmark.,AIS: MMSI 993672126
20,General Sherman Wreck Buoy,"33-43-49.823N, 078-32-49.036W",,,,Yellow nun.,
25,Little River Inlet North Jetty Light 2,"33-50-31.490N, 078-32-39.490W",Fl R 4s,24,5,TR on dolphin.,
30,Little River Inlet South Jetty Light 1,"33-50-29.468N, 078-32-50.518W",Fl G 4s,24,5,SG on dolphin.,
35,Sea Cabin Ocean Pier South Obstruction Light,"33-50-12.621N, 078-36-23.046W",F R,10,,(2) lights on pier.,
40,Cherry Grove Pier Obstruction Lights,"33-49-42.000N, 078-38-00.000W",F R,10,,On pier.,
42,Coastal Carolina University Data Lighted Buoy A,"33-39-24.422N, 078-35-34.542W",,,,Yellow.,
42.1,Coastal Carolina University Data Lighted Buoy B,"33-46-48.400N, 078-38-11.160W",,,,Yellow.,
42.2,Coastal Carolina University Data Lighted Buoy C,"33-44-30.400N, 078-37-15.180W",,,,Yellow.,
50,Windy Hill Beach Pier North Light,"33-47-42.620N, 078-43-17.063W",F R,14,,(2) lights on pier.,
55,Second Avenue Pier North Obstruction Light,"33-40-54.616N, 078-53-09.099W",F R,10,,(2) lights on pier.,
60,Surfside Fishing Pier North Obstruction Light,"33-34-00.608N, 078-59-59.125W",F R,15,,(2) lights on pier.,Focal Height 28 Ft.
65,Garden City Fishing Pier North Light,"33-34-30.609N, 078-59-45.124W",F R,30,,On pier.,
70,Paradise Fish Haven Buoy,"33-31-06.000N, 078-58-10.000W",,,,Yellow nun.,
75,Murrells Inlet Lighted Buoy MI,"33-30-39.308N, 079-00-44.721W",Mo (A) W,,5,Red and white stripes with red spherical topmark.,
80,Bill Perry Jr. Reef Buoy,"33-25-42.624N, 078-33-07.000W",,,,Yellow nun.,
85,Ten Mile Reef Northwest Fish Haven Buoy,"33-26-24.000N, 078-52-39.000W",,,,Yellow can.,
90,Ten Mile Reef Southeast Fish Haven Buoy,"33-25-22.000N, 078-51-24.000W",,,,Yellow can.,
95,Pawleys Island Fish Haven Buoy,"33-26-08.000N, 079-00-43.530W",,,,Yellow nun.,
100,Pawleys Island Pier North Obstruction Light,"33-25-08.604N, 079-06-59.151W",F R,12,,(2) lights on pier.,
105,North Inlet Reef Buoy,"33-20-13.187N, 079-00-53.909W",,,,Yellow nun.,
106,Murrell's Inlet 60' Reef Buoy,"33-17-00.000N, 078-45-33.000W",,,,Yellow nun.,
110,Georgetown Wreck Fish Haven Buoy,"33-14-24.000N, 079-00-10.000W",,,,Yellow nun.,
111,Coastal Carolina University Lighted Buoy W-B,"33-14-13.038N, 079-07-33.018W",,,,Yellow.,
112,Coastal Carolina University Lighted Buoy W-C,"33-14-12.258N, 079-04-33.984W",,,,Yellow.,
115,Georgetown Nearshore Reef Buoy,"33-12-17.000N, 079-05-12.352W",,,,Yellow nun.,
120,Georgetown Light,"33-13-21.495N, 079-11-06.197W",Fl (2)W 15s,85,15,White cylindrical tower.,
125,Winyah Bay Lighted Buoy WB,"33-11-37.162N, 079-05-10.925W",Mo (A) W,,6,Red and white stripes with red spherical topmark.,AIS: MMSI 993672111
130,Georgetown Sixty Foot Reef Buoy,"33-05-58.800N, 079-00-49.800W",,,,Yellow nun.,
132,Coastal Carolina University Data Lighted Buoy W-A,"33-06-45.090N, 078-58-36.240W",,,,Yellow.,
135,City of Richmond Wreck Lighted Buoy WR2,"33-01-46.105N, 078-55-12.789W",Q R,,4,Red.,
140,East Bank Buoy 2EB,"33-08-49.582N, 079-08-07.293W",,,,Red nun.,
145,Hector Wreck Lighted Buoy WR4,"32-59-55.495N, 079-05-44.350W",Q R,,4,Red.,
150,Cape Romain Fish Haven Buoy A,"32-59-45.613N, 079-02-22.000W",,,,Yellow nun.,
155,Cape Romain Shoal Buoy 6CR,"32-57-39.281N, 079-17-08.647W",,,,Red nun.,
159,McClellanville Reef Buoy,"32-51-48.000N, 079-22-30.000W",,,,Yellow nun.,
165,Bull Breakers Buoy 2BB,"32-50-12.347N, 079-32-31.086W",,,,Red nun.,
168,Capers Island Lighted Buoy C,"32-48-13.849N, 079-37-34.194W",Fl Y 4s,,4,Yellow.,
169,Capers Island Lighted Buoy D,"32-48-16.498N, 079-37-36.480W",Fl Y 2.5s,,1,Yellow.,
170,Bull Breakers Offshore Drill Mine Field Lighted Buoy 8,"32-44-15.082N, 079-34-02.273W",Fl R 2.5s,,5,Red.,
175,Capers Reef North Buoy,"32-45-02.400N, 079-34-36.000W",,,,Yellow nun.,
180,Rattlesnake Shoal Buoy 2,"32-44-26.606N, 079-43-05.027W",,,,Red nun.,
185,Isle Of Palms Fishing Pier North Light,"32-47-05.900N, 079-47-07.000W",F R,8,,On pier.,
190,Charleston Inshore Reef Buoy,"32-42-37.840N, 079-45-41.293W",,,,Yellow nun.,
195,Charleston Light,"32-45-28.551N, 079-50-35.682W",Fl (2)W 30s,163,17,Triangular tower top half black lower half white.,Visible all around; higher intensity from 217° to 071°. Emergency light of reduced intensity when main light is extinquished.
200,Charleston Entrance Lighted Buoy C,"32-35-39.590N, 079-32-15.909W",Mo (A) W,,6,Red and white stripes with red spherical topmark.,AIS: MMSI 993672420
230,Charleston Sixty Foot Reef Buoy,"32-33-06.000N, 079-40-18.000W",,,,Yellow nun.,
231,CORMP Data Lighted Buoy NDBC 41066,"32-32-32.064N, 079-39-50.716W",Fl Y 4s,,,Yellow.,Aid maintained by Coastal Ocean Research and Monitoring Program.
233,CORMP Wave Data Lighted Buoy NDBC 41076,"32-32-10.200N, 079-39-28.738W",Fl Y 2.5s,,,Yellow.,Aid maintained by Coastal Ocean Research and Monitoring Program.
235,Folly Beach Fishing Pier Obstruction Light,"32-39-13.000N, 079-56-18.000W",F R,,,On pier.,
242,Lowcountry Anglers' Reef Buoy,"32-34-18.000N, 079-55-06.000W",,,,Yellow nun.,
250,Kiawah Reef North Buoy,"32-29-27.060N, 080-00-03.480W",,,,Yellow can.,
255,Kiawah Reef Center Buoy,"32-28-50.520N, 080-00-25.980W",,,,Yellow nun.,
260,North Edisto Reef Lighted Buoy,"32-31-54.000N, 080-06-00.000W",Fl Y 4s,,,Yellow.,
265,North Edisto River Entrance Lighted Buoy 2NE,"32-31-21.399N, 080-06-51.374W",Fl R 4s,,5,Red.,
270,Edisto Sixty Foot Reef Buoy,"32-21-24.660N, 080-05-09.300W",,,,Yellow nun.,
273,Charleston DMON Research Lighted Buoy,"32-23-04.200N, 079-26-45.000W",Fl Y 4s,,,Blue and yellow can.,priv maint.
275,Edisto Nearshore Reef Buoy,"32-25-19.080N, 080-11-44.040W",,,,Yellow nun.,
290,Hunting Island Fish Haven Buoy,"32-13-03.300N, 080-20-29.640W",,,,Yellow nun.,
295,Fripp Island Fish Haven Buoy,"32-15-25.260N, 080-22-27.000W",,,,Yellow can.,
297,Fripp Island Lighted Buoy E,"32-16-38.344N, 080-24-29.163W",Fl Y 4s,,4,Yellow.,
305,General Gordon Wreck Fish Haven Buoy,"32-10-05.880N, 080-33-09.660W",,,,Yellow nun.,
307,Port Royal 45' Reef Buoy,"32-07-09.300N, 080-29-18.300W",,,,Yellow nun.,
310,Port Royal Sound Lighted Buoy P,"32-05-08.316N, 080-35-01.871W",Mo (A) W,,5,Red and white stripes with red spherical topmark.,
325,Eagles Nest Reef Buoy,"32-01-09.600N, 080-30-18.000W",,,,Yellow nun.,
330,Hilton Head Fish Haven Buoy,"31-59-56.880N, 080-35-55.680W",,,,Yellow nun.,
335,Whitewater Reef Buoy,"32-03-05.340N, 080-45-00.180W",,,,Yellow nun.,
345,Tybee Light,"32-01-20.040N, 080-50-44.478W",F W,144,19,Octagonal brick tower upper and lower one third black center white.,Lighted throughout 24 hours.
349,Savannah DMON Research Lighted Buoy WH,"31-49-22.800N, 080-18-25.800W",Fl Y 4s,,4,Blue and yellow can.,priv maint.
350,Tybee V-AIS T,"31-56-09.548N, 080-35-03.436W",,,,,AIS: MMSI 993672996
370,Tybee Creek Fishing Pier Light,"31-59-30.776N, 080-51-13.397W",F R,,,On pier.,
435,Wassaw Sound Lighted Buoy 2W,"31-51-32.982N, 080-53-00.768W",Fl R 4s,,5,Red.,
450,St. Catherines Sound Lighted Buoy STC,"31-40-13.023N, 081-00-12.018W",Mo (A) W,,6,Red and white stripes with red spherical topmark.,
465,Grays Reef Boundary Buoy A,"31-21-45.004N, 080-55-18.035W",,,,Yellow nun.,
470,Grays Reef Boundary Buoy B,"31-25-14.998N, 080-55-18.035W",,,,Yellow nun.,
480,Grays Reef Boundary Buoy C,"31-25-15.006N, 080-49-42.032W",,,,Yellow nun.,
485,Grays Reef Boundary Buoy D,"31-21-45.011N, 080-49-42.032W",,,,Yellow nun.,
490,Doboy Sound Lighted Buoy D,"31-21-14.096N, 081-11-24.048W",Mo (A) W,,5,Red and white stripes with red spherical topmark.,
510,Brunswick Lighted Buoy 2B,"31-00-08.018N, 081-09-38.045W",Fl R 4s,,5,Red.,
515,St. Simons Lighted Buoy STS,"31-02-49.022N, 081-14-25.218W",Mo (A) W,,5,Red and white stripes with red spherical topmark.,AIS: MMSI 993672091
518,Brunswick Spoil Area Lighted Buoy C,"31-02-33.463N, 081-15-22.762W",Fl Y 2.5s,,4,Yellow.,
520,St. Simons Light,"31-08-02.846N, 081-23-36.920W",FFl W 60s,104,23,White conical tower near brick building.,AIS: MMSI 993672490 Fixed range is 18 miles. Flashing range is 23 miles.
525,Brunswick Spoil Area Buoy B,"31-00-27.398N, 081-16-35.982W",,,,Yellow can.,
530,Brunswick Spoil Area Buoy A,"31-01-40.495N, 081-16-29.716W",,,,Yellow can.,
560,St. Marys Entrance Lighted Buoy STM,"30-42-54.054N, 081-14-38.666W",Mo (A) W,,6,Red and white stripes with red spherical topmark.,AIS: MMSI 993672157
